"Kod";"Nazwa";"ogółem;ogółem;2010;[m2]";"ogółem;ogółem;2011;[m2]";"ogółem;ogółem;2012;[m2]";"ogółem;ogółem;2013;[m2]";"ogółem;ogółem;2014;[m2]";"ogółem;ogółem;2015;[m2]";"ogółem;ogółem;2016;[m2]";"ogółem;ogółem;2017;[m2]";"ogółem;ogółem;2018;[m2]";"ogółem;ogółem;2019;[m2]";"ogółem;ogółem;2020;[m2]";"ogółem;do 40 m2;2010;[m2]";"ogółem;do 40 m2;2011;[m2]";"ogółem;do 40 m2;2012;[m2]";"ogółem;do 40 m2;2013;[m2]";"ogółem;do 40 m2;2014;[m2]";"ogółem;do 40 m2;2015;[m2]";"ogółem;do 40 m2;2016;[m2]";"ogółem;do 40 m2;2017;[m2]";"ogółem;do 40 m2;2018;[m2]";"ogółem;do 40 m2;2019;[m2]";"ogółem;do 40 m2;2020;[m2]";"ogółem;od 40,1 do 60 m2;2010;[m2]";"ogółem;od 40,1 do 60 m2;2011;[m2]";"ogółem;od 40,1 do 60 m2;2012;[m2]";"ogółem;od 40,1 do 60 m2;2013;[m2]";"ogółem;od 40,1 do 60 m2;2014;[m2]";"ogółem;od 40,1 do 60 m2;2015;[m2]";"ogółem;od 40,1 do 60 m2;2016;[m2]";"ogółem;od 40,1 do 60 m2;2017;[m2]";"ogółem;od 40,1 do 60 m2;2018;[m2]";"ogółem;od 40,1 do 60 m2;2019;[m2]";"ogółem;od 40,1 do 60 m2;2020;[m2]";"ogółem;od 60,1 do 80 m2;2010;[m2]";"ogółem;od 60,1 do 80 m2;2011;[m2]";"ogółem;od 60,1 do 80 m2;2012;[m2]";"ogółem;od 60,1 do 80 m2;2013;[m2]";"ogółem;od 60,1 do 80 m2;2014;[m2]";"ogółem;od 60,1 do 80 m2;2015;[m2]";"ogółem;od 60,1 do 80 m2;2016;[m2]";"ogółem;od 60,1 do 80 m2;2017;[m2]";"ogółem;od 60,1 do 80 m2;2018;[m2]";"ogółem;od 60,1 do 80 m2;2019;[m2]";"ogółem;od 60,1 do 80 m2;2020;[m2]";"ogółem;od 80,1 m2;2010;[m2]";"ogółem;od 80,1 m2;2011;[m2]";"ogółem;od 80,1 m2;2012;[m2]";"ogółem;od 80,1 m2;2013;[m2]";"ogółem;od 80,1 m2;2014;[m2]";"ogółem;od 80,1 m2;2015;[m2]";"ogółem;od 80,1 m2;2016;[m2]";"ogółem;od 80,1 m2;2017;[m2]";"ogółem;od 80,1 m2;2018;[m2]";"ogółem;od 80,1 m2;2019;[m2]";"ogółem;od 80,1 m2;2020;[m2]";"rynek pierwotny;ogółem;2010;[m2]";"rynek pierwotny;ogółem;2011;[m2]";"rynek pierwotny;ogółem;2012;[m2]";"rynek pierwotny;ogółem;2013;[m2]";"rynek pierwotny;ogółem;2014;[m2]";"rynek pierwotny;ogółem;2015;[m2]";"rynek pierwotny;ogółem;2016;[m2]";"rynek pierwotny;ogółem;2017;[m2]";"rynek pierwotny;ogółem;2018;[m2]";"rynek pierwotny;ogółem;2019;[m2]";"rynek pierwotny;ogółem;2020;[m2]";"rynek pierwotny;do 40 m2;2010;[m2]";"rynek pierwotny;do 40 m2;2011;[m2]";"rynek pierwotny;do 40 m2;2012;[m2]";"rynek pierwotny;do 40 m2;2013;[m2]";"rynek pierwotny;do 40 m2;2014;[m2]";"rynek pierwotny;do 40 m2;2015;[m2]";"rynek pierwotny;do 40 m2;2016;[m2]";"rynek pierwotny;do 40 m2;2017;[m2]";"rynek pierwotny;do 40 m2;2018;[m2]";"rynek pierwotny;do 40 m2;2019;[m2]";"rynek pierwotny;do 40 m2;2020;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2010;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2011;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2012;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2013;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2014;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2015;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2016;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2017;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2018;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2019;[m2]";"rynek pierwotny;od 40,1 do 60 m2;2020;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2010;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2011;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2012;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2013;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2014;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2015;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2016;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2017;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2018;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2019;[m2]";"rynek pierwotny;od 60,1 do 80 m2;2020;[m2]";"rynek pierwotny;od 80,1 m2;2010;[m2]";"rynek pierwotny;od 80,1 m2;2011;[m2]";"rynek pierwotny;od 80,1 m2;2012;[m2]";"rynek pierwotny;od 80,1 m2;2013;[m2]";"rynek pierwotny;od 80,1 m2;2014;[m2]";"rynek pierwotny;od 80,1 m2;2015;[m2]";"rynek pierwotny;od 80,1 m2;2016;[m2]";"rynek pierwotny;od 80,1 m2;2017;[m2]";"rynek pierwotny;od 80,1 m2;2018;[m2]";"rynek pierwotny;od 80,1 m2;2019;[m2]";"rynek pierwotny;od 80,1 m2;2020;[m2]";"rynek wtórny;ogółem;2010;[m2]";"rynek wtórny;ogółem;2011;[m2]";"rynek wtórny;ogółem;2012;[m2]";"rynek wtórny;ogółem;2013;[m2]";"rynek wtórny;ogółem;2014;[m2]";"rynek wtórny;ogółem;2015;[m2]";"rynek wtórny;ogółem;2016;[m2]";"rynek wtórny;ogółem;2017;[m2]";"rynek wtórny;ogółem;2018;[m2]";"rynek wtórny;ogółem;2019;[m2]";"rynek wtórny;ogółem;2020;[m2]";"rynek wtórny;do 40 m2;2010;[m2]";"rynek wtórny;do 40 m2;2011;[m2]";"rynek wtórny;do 40 m2;2012;[m2]";"rynek wtórny;do 40 m2;2013;[m2]";"rynek wtórny;do 40 m2;2014;[m2]";"rynek wtórny;do 40 m2;2015;[m2]";"rynek wtórny;do 40 m2;2016;[m2]";"rynek wtórny;do 40 m2;2017;[m2]";"rynek wtórny;do 40 m2;2018;[m2]";"rynek wtórny;do 40 m2;2019;[m2]";"rynek wtórny;do 40 m2;2020;[m2]";"rynek wtórny;od 40,1 do 60 m2;2010;[m2]";"rynek wtórny;od 40,1 do 60 m2;2011;[m2]";"rynek wtórny;od 40,1 do 60 m2;2012;[m2]";"rynek wtórny;od 40,1 do 60 m2;2013;[m2]";"rynek wtórny;od 40,1 do 60 m2;2014;[m2]";"rynek wtórny;od 40,1 do 60 m2;2015;[m2]";"rynek wtórny;od 40,1 do 60 m2;2016;[m2]";"rynek wtórny;od 40,1 do 60 m2;2017;[m2]";"rynek wtórny;od 40,1 do 60 m2;2018;[m2]";"rynek wtórny;od 40,1 do 60 m2;2019;[m2]";"rynek wtórny;od 40,1 do 60 m2;2020;[m2]";"rynek wtórny;od 60,1 do 80 m2;2010;[m2]";"rynek wtórny;od 60,1 do 80 m2;2011;[m2]";"rynek wtórny;od 60,1 do 80 m2;2012;[m2]";"rynek wtórny;od 60,1 do 80 m2;2013;[m2]";"rynek wtórny;od 60,1 do 80 m2;2014;[m2]";"rynek wtórny;od 60,1 do 80 m2;2015;[m2]";"rynek wtórny;od 60,1 do 80 m2;2016;[m2]";"rynek wtórny;od 60,1 do 80 m2;2017;[m2]";"rynek wtórny;od 60,1 do 80 m2;2018;[m2]";"rynek wtórny;od 60,1 do 80 m2;2019;[m2]";"rynek wtórny;od 60,1 do 80 m2;2020;[m2]";"rynek wtórny;od 80,1 m2;2010;[m2]";"rynek wtórny;od 80,1 m2;2011;[m2]";"rynek wtórny;od 80,1 m2;2012;[m2]";"rynek wtórny;od 80,1 m2;2013;[m2]";"rynek wtórny;od 80,1 m2;2014;[m2]";"rynek wtórny;od 80,1 m2;2015;[m2]";"rynek wtórny;od 80,1 m2;2016;[m2]";"rynek wtórny;od 80,1 m2;2017;[m2]";"rynek wtórny;od 80,1 m2;2018;[m2]";"rynek wtórny;od 80,1 m2;2019;[m2]";"rynek wtórny;od 80,1 m2;2020;[m2]";
0000000;"POLSKA";5554022,8;5737047,5;6144958,1;7014130,2;7014569,3;8037164,9;8819256,5;9657008,2;11028415,9;11393256,0;10913143,3;857906,8;874959,3;906807,4;1055372,9;1059708,7;1227524,8;1338187,1;1459673,9;1646326,3;1680473,9;1607895,9;2366073,6;2462229,6;2634955,4;3004113,2;3013420,8;3497345,8;3810292,0;4162326,4;4564170,7;4660425,2;4450193,9;1455506,5;1512835,5;1648735,6;1819812,9;1823405,1;2053577,7;2276670,4;2544725,5;3010008,6;3033962,1;2825664,7;874535,9;887023,1;954459,7;1134831,2;1118034,7;1258716,6;1394107,0;1490282,4;1807910,3;2018394,8;2029388,8;2023254,5;1998821,4;2466380,9;2937116,7;2857976,6;3163846,4;3504109,2;3699988,8;4538232,2;4528578,2;4810095,7;208295,6;195811,5;234455,9;303660,3;309904,6;376448,7;429130,1;458478,5;552505,3;545049,2;596387,6;855869,9;845357,9;1051129,8;1260161,4;1244675,2;1414225,6;1556055,8;1613761,6;1851799,2;1760337,8;1861028,6;581633,8;584146,9;742976,6;837299,2;806979,2;850120,2;955672,7;1051768,2;1381274,1;1346722,8;1360698,8;377455,2;373505,1;437818,6;535995,8;496417,6;523051,9;563250,6;575980,5;752653,6;876468,4;991980,7;3530768,3;3738226,1;3678577,2;4077013,5;4156592,7;4873318,5;5315147,3;5957019,4;6490183,7;6864677,8;6103047,6;649611,2;679147,8;672351,5;751712,6;749804,1;851076,1;909057,0;1001195,4;1093821,0;1135424,7;1011508,3;1510203,7;1616871,7;1583825,6;1743951,8;1768745,6;2083120,2;2254236,2;2548564,8;2712371,5;2900087,4;2589165,3;873872,7;928688,6;905759,0;982513,7;1016425,9;1203457,5;1320997,7;1492957,3;1628734,5;1687239,3;1464965,9;497080,7;513518,0;516641,1;598835,4;621617,1;735664,7;830856,4;914301,9;1055256,7;1141926,4;1037408,1;
0200000;"DOLNOŚLĄSKIE";779886,9;766093,8;820648,0;978110,4;901802,5;1012338,2;1199123,5;1275032,7;1385338,2;1430900,9;1133930,8;107179,1;107370,6;107140,5;133958,7;116590,7;134050,7;157649,4;177374,0;178682,0;189675,8;153935,0;339565,7;329199,8;339399,5;409387,4;382088,7;436067,3;497127,0;522126,0;546474,8;572542,0;445493,3;211147,6;201231,4;227301,2;258328,4;245901,8;272347,7;337253,7;348461,7;403602,8;396272,8;303717,3;121994,5;128292,0;146806,8;176435,9;157221,3;169872,5;207093,4;227071,0;256578,6;272410,3;230785,2;257781,5;240127,6;306861,6;421356,9;388702,8;375164,8;481540,4;469962,4;542258,4;502795,1;368304,4;21417,5;20877,3;24744,2;45655,8;36545,7;38656,9;53450,6;56405,1;52446,0;54495,9;38291,9;120772,1;107665,7;129132,8;183476,4;174737,2;175094,8;206436,5;204360,5;219125,1;202529,6;146003,8;75298,6;67210,8;94740,4;112394,8;110125,7;103521,0;141418,0;128279,6;171726,6;151273,0;106387,5;40293,3;44373,8;58244,2;79829,9;67294,2;57892,1;80235,3;80917,2;98960,7;94496,6;77621,2;522105,4;525966,2;513786,4;556753,5;513099,7;637173,4;717583,1;805070,3;843079,8;928105,8;765626,4;85761,6;86493,3;82396,3;88302,9;80045,0;95393,8;104198,8;120968,9;126236,0;135179,9;115643,1;218793,6;221534,1;210266,7;225911,0;207351,5;260972,5;290690,5;317765,5;327349,7;370012,4;299489,5;135849,0;134020,6;132560,8;145933,6;135776,1;168826,7;195835,7;220182,1;231876,2;244999,8;197329,8;81701,2;83918,2;88562,6;96606,0;89927,1;111980,4;126858,1;146153,8;157617,9;177913,7;153164,0;
0201000;"Powiat bolesławiecki";8160,9;5761,7;7632,3;12165,4;5698,1;17243,0;30300,5;31540,9;32986,7;32833,4;24124,3;1793,0;1146,4;1484,7;1746,1;1208,8;2112,1;3957,9;4172,4;4371,1;2580,6;2329,3;4052,4;2490,8;3105,1;5078,0;2815,4;5830,4;12118,1;12624,1;12001,5;11784,1;8841,4;2044,3;1653,3;2137,9;4153,1;1212,9;6180,8;10964,1;10452,2;10281,0;11121,2;8357,8;271,2;471,2;904,6;1188,2;461,0;3119,7;3260,4;4292,2;6333,1;7347,5;4595,8;0,0;0,0;0,0;1446,1;383,5;466,1;2665,2;271,5;4312,6;4446,4;6081,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,8;0,0;312,1;0,0;0,0;0,0;220,7;247,1;142,9;1284,4;271,5;1372,0;730,5;2605,6;0,0;0,0;0,0;963,2;0,0;0,0;1380,8;0,0;2020,4;1318,4;2041,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;820,4;2368,0;1122,0;8160,9;5761,7;7632,3;10719,3;5314,6;16776,9;27635,3;31269,4;28674,1;28387,0;18043,0;1793,0;1146,4;1484,7;1666,5;1132,9;2112,1;3957,9;4172,4;4271,3;2551,1;2017,2;4052,4;2490,8;3105,1;4857,3;2568,3;5687,5;10833,7;12352,6;10629,5;11053,6;6235,8;2044,3;1653,3;2137,9;3189,9;1152,4;6045,0;9583,3;10452,2;8260,6;9802,8;6316,2;271,2;471,2;904,6;1005,6;461,0;2932,3;3260,4;4292,2;5512,7;4979,5;3473,8;
0202000;"Powiat dzierżoniowski";14441,7;13371,5;11856,0;13384,4;12260,7;16093,8;15674,4;15991,9;20110,6;26197,2;25893,5;3605,9;3420,9;2711,9;2774,7;1904,1;3771,8;3598,1;3537,8;5244,4;6307,2;6731,6;6977,0;5776,5;5598,9;5586,8;5081,3;7290,8;6156,9;6845,4;8170,8;10612,5;11177,6;3003,8;2325,7;2302,3;3291,3;3093,2;3461,7;4174,9;3542,7;3512,3;5827,7;4571,3;855,0;1848,4;1242,9;1731,6;2182,1;1569,5;1744,5;2066,0;3183,1;3449,8;3413,0;312,8;0,0;0,0;1130,6;3452,1;1181,9;629,8;0,0;556,0;390,9;1014,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86,8;0,0;0,0;239,8;0,0;0,0;347,5;1909,0;734,1;250,9;0,0;240,0;232,4;238,4;0,0;0,0;0,0;427,5;1098,3;413,7;342,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;355,6;444,8;0,0;0,0;0,0;0,0;0,0;593,7;14128,9;13308,9;11856,0;12253,8;8808,6;14911,9;15044,6;15866,5;19554,6;25806,3;24879,5;3605,9;3420,9;2711,9;2774,7;1904,1;3737,7;3561,8;3537,8;5157,6;6280,3;6684,8;6737,2;5776,5;5598,9;5239,3;3172,3;6556,7;5906,0;6845,4;7930,8;10380,1;10939,2;2930,8;2263,1;2302,3;2863,8;1994,9;3048,0;3832,3;3417,3;3383,7;5696,1;4436,2;855,0;1848,4;1242,9;1376,0;1737,3;1569,5;1744,5;2066,0;3082,5;3449,8;2819,3;
0203000;"Powiat głogowski";18554,3;18642,8;20279,9;23878,6;22241,7;20392,2;26805,2;27697,4;31600,6;27413,1;26431,6;3080,3;2920,5;2821,4;3570,7;4242,9;3712,4;3727,3;3336,9;3821,6;3556,5;3806,8;7695,4;7637,6;9192,0;11461,0;9835,3;8335,9;12100,9;10297,1;13453,2;11964,8;9996,4;5726,2;6008,4;7068,6;6493,2;6147,6;6220,4;8367,1;10063,6;9538,8;7320,5;8711,6;2052,4;2076,3;1197,9;2353,7;2015,9;2123,5;2609,9;3999,8;4787,0;4571,3;3916,8;4011,5;3895,0;7178,7;7272,9;7380,7;4280,3;4855,8;4108,8;11493,6;5159,2;2094,9;329,1;215,8;629,9;878,3;1498,6;958,9;950,7;108,2;645,8;500,7;0,0;1988,0;1828,3;3488,2;4200,4;3440,2;2046,0;2464,7;1816,1;5604,3;1577,1;0,0;1090,7;1663,4;2556,2;1795,7;1830,1;880,6;1357,1;1544,2;2678,0;1176,7;824,7;603,7;0,0;504,4;398,5;611,8;394,8;0,0;640,3;2565,5;1904,7;1200,5;14542,8;14747,8;13101,2;16605,7;14861,0;16111,9;21949,4;23588,6;20107,0;22253,9;24336,7;2751,2;2704,7;2191,5;2692,4;2744,3;2753,5;2776,6;3228,7;3175,8;3055,8;3737,1;5707,4;5809,3;5703,8;7260,6;6395,1;6289,9;9636,2;8481,0;7848,9;10387,7;9996,4;4635,5;4345,0;4512,4;4697,5;4317,5;5339,8;7010,0;8519,4;6860,8;6143,8;7886,9;1448,7;1888,8;693,5;1955,2;1404,1;1728,7;2526,6;3359,5;2221,5;2666,6;2716,3;
0204000;"Powiat górowski";624,3;297,0;409,9;0,0;178,4;754,4;380,1;478,8;1907,5;3101,2;4411,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;87,4;524,8;386,5;154,9;0,0;0,0;0,0;0,0;201,3;168,4;0,0;613,9;972,8;1890,3;268,9;0,0;0,0;0,0;0,0;519,0;211,7;369,4;688,6;611,0;1381,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;517,6;992,6;753,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;369,4;0,0;0,0;133,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;133,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;369,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;624,3;297,0;409,9;0,0;178,4;754,4;231,9;0,0;1907,5;3101,2;4278,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;87,4;524,8;386,5;154,9;0,0;0,0;0,0;0,0;201,3;168,4;0,0;613,9;972,8;1757,3;268,9;0,0;0,0;0,0;0,0;519,0;0,0;0,0;688,6;611,0;1381,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;517,6;992,6;753,2;
0205000;"Powiat jaworski";3252,5;5263,4;4997,5;4763,9;3939,6;5243,6;6931,3;7998,7;7998,0;7481,3;9202,5;216,7;886,7;640,2;614,9;477,0;487,2;1059,2;1063,7;1034,2;689,0;1069,6;867,7;1521,6;1301,4;1649,9;1632,5;1718,8;1752,7;2642,5;2244,6;2533,3;2749,9;958,1;1026,6;1417,4;1277,3;957,7;1685,5;1979,5;2047,6;2961,1;2091,9;2890,2;1210,0;1828,5;1638,5;1221,8;872,4;1352,1;2139,9;2244,9;1758,1;2167,1;2492,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;214,6;0,0;0,0;491,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;156,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3252,5;5158,9;4997,5;4763,9;3939,6;5243,6;6931,3;7784,1;7937,8;7387,7;8711,5;216,7;886,7;640,2;614,9;477,0;487,2;1059,2;1030,9;1034,2;689,0;1042,8;867,7;1521,6;1301,4;1649,9;1632,5;1718,8;1752,7;2543,9;2244,6;2533,3;2593,0;958,1;1026,6;1417,4;1277,3;957,7;1685,5;1979,5;2047,6;2900,9;2091,9;2818,7;1210,0;1724,0;1638,5;1221,8;872,4;1352,1;2139,9;2161,7;1758,1;2073,5;2257,0;
0206000;"Powiat karkonoski";12936,2;9823,8;9713,3;11328,3;13987,4;18197,7;9504,1;11061,0;11358,6;11020,9;24102,3;1710,7;1743,1;1605,4;2282,4;2497,4;2667,0;1943,9;1839,3;2014,6;1080,3;3661,0;4062,3;3726,3;3511,1;3874,2;4001,2;7344,6;3281,1;4914,2;4594,5;4041,5;8303,0;3265,0;2379,1;2491,5;3036,1;4276,8;4804,9;2542,7;2014,7;2581,8;2634,3;6095,4;3898,2;1975,3;2105,3;2135,6;3212,0;3381,2;1736,4;2292,8;2167,7;3264,8;6042,9;1818,9;909,2;2220,9;3929,5;4550,7;7507,1;1225,6;1972,7;2818,2;2498,2;3882,6;251,0;188,2;437,9;967,5;631,5;1036,2;441,2;500,5;612,2;0,0;945,1;682,9;273,7;942,2;1204,8;1201,5;3787,0;658,6;1135,3;1710,4;817,6;1512,0;625,6;341,1;840,8;1296,7;1888,9;2520,3;0,0;336,9;401,2;201,7;411,6;259,4;0,0;0,0;460,5;828,8;0,0;0,0;0,0;0,0;1408,5;1013,9;11117,3;8914,6;7492,4;7398,8;9436,7;10690,6;8278,5;9088,3;8540,4;8522,7;20219,7;1459,7;1554,9;1167,5;1314,9;1865,9;1630,8;1502,7;1338,8;1402,4;1009,9;2715,9;3379,4;3452,6;2568,9;2669,4;2799,7;3557,6;2622,5;3778,9;2884,1;3223,9;6791,0;2639,4;2038,0;1650,7;1739,4;2387,9;2284,6;2416,9;1677,8;2180,6;2432,6;5683,8;3638,8;1869,1;2105,3;1675,1;2383,2;3217,6;1736,4;2292,8;2073,3;1856,3;5029,0;
0207000;"Powiat kamiennogórski";3654,0;3839,5;4419,3;4477,0;4887,2;6237,9;5932,7;6928,0;7718,2;8221,5;7182,5;670,7;659,2;637,4;783,4;903,5;1186,0;1272,0;1133,1;1762,7;1888,7;1235,4;1378,9;1637,2;2078,2;2029,6;1995,2;2674,6;2107,4;2454,8;2862,1;3287,5;3623,7;900,4;850,7;921,6;1106,3;1032,7;1714,0;1439,9;2240,7;1768,3;1764,4;1557,7;704,0;692,4;782,1;557,7;955,8;663,3;1113,4;1099,4;1325,1;1280,9;765,7;220,4;0,0;137,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;220,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3433,6;3839,5;4282,3;4477,0;4781,9;6237,9;5932,7;6877,6;7657,8;8221,5;7182,5;670,7;659,2;601,0;783,4;866,5;1186,0;1272,0;1133,1;1762,7;1888,7;1235,4;1378,9;1637,2;1977,6;2029,6;1995,2;2674,6;2107,4;2404,4;2862,1;3287,5;3623,7;680,0;850,7;921,6;1106,3;964,4;1714,0;1439,9;2240,7;1707,9;1764,4;1557,7;704,0;692,4;782,1;557,7;955,8;663,3;1113,4;1099,4;1325,1;1280,9;765,7;
0208000;"Powiat kłodzki";22608,5;21942,4;21201,6;23382,6;23999,7;24436,3;22871,7;29951,8;36202,5;42749,1;41294,6;4465,8;5081,5;4060,8;5780,0;6398,0;4941,6;4862,5;6632,2;7440,3;7574,9;8375,4;8863,7;9670,9;8775,1;10031,6;10501,6;10305,2;9434,7;11301,0;13784,2;18513,2;17850,4;5516,8;4457,5;5320,6;4423,0;4242,2;6577,6;5856,5;6584,1;9444,6;10780,4;8181,7;3762,2;2732,5;3045,1;3148,0;2857,9;2611,9;2718,0;5434,5;5533,4;5880,6;6887,1;1786,3;1559,4;1060,1;4054,6;4379,2;3189,6;1891,8;3935,4;5271,7;4836,1;4924,3;0,0;261,2;0,0;1812,9;1815,2;1308,5;446,5;1781,2;1163,7;169,2;456,4;1046,7;1006,8;712,7;1617,2;1960,9;1311,9;747,0;1281,2;2370,5;2449,9;2535,9;401,8;291,4;191,0;458,9;499,8;488,7;590,9;578,5;1542,0;1926,2;1755,7;266,0;0,0;0,0;0,0;0,0;0,0;0,0;294,5;0,0;290,8;0,0;20822,2;20383,0;20141,5;19328,0;19620,5;21246,7;20979,9;26016,4;30930,8;37913,0;36370,3;4394,0;4820,3;3992,2;3967,1;4582,8;3633,1;4416,0;4851,0;6276,6;7405,7;7919,0;7817,0;8664,1;8062,4;8414,4;8540,7;8993,3;8687,7;10019,8;11413,7;16063,3;15314,5;5115,0;4166,1;5129,6;3964,1;3742,4;6088,9;5265,6;6005,6;7902,6;8854,2;6426,0;3496,2;2732,5;2957,3;2982,4;2754,6;2531,4;2610,6;5140,0;5337,9;5589,8;6710,8;
0209000;"Powiat legnicki";3788,0;3170,1;4445,0;3491,6;3776,9;5472,1;5405,1;5349,4;6573,6;5688,5;6736,1;801,8;421,1;692,6;619,2;754,7;659,2;823,7;712,0;473,2;759,9;442,6;1708,5;1641,2;1954,5;1822,6;1706,4;1878,7;2080,3;1893,2;2915,1;2280,8;2052,9;749,9;1012,3;1334,4;745,0;833,9;1741,2;2060,7;2064,7;2455,1;1557,2;2861,3;527,8;0,0;463,5;304,8;481,9;1193,0;440,4;679,5;730,2;1090,6;1379,3;0,0;0,0;445,2;0,0;570,7;1003,6;0,0;0,0;574,6;0,0;333,0;0,0;0,0;0,0;0,0;146,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;206,3;0,0;228,7;258,2;0,0;0,0;449,0;0,0;0,0;0,0;0,0;0,0;0,0;195,4;470,6;0,0;0,0;0,0;0,0;333,0;0,0;0,0;0,0;0,0;0,0;274,8;0,0;0,0;0,0;0,0;0,0;3788,0;3170,1;3999,8;3408,1;3206,2;4468,5;5405,1;5349,4;5999,0;5626,1;6403,1;801,8;421,1;692,6;582,0;608,1;659,2;823,7;712,0;473,2;759,9;442,6;1708,5;1641,2;1748,2;1776,3;1477,7;1620,5;2080,3;1893,2;2466,1;2280,8;2052,9;749,9;1012,3;1176,3;745,0;638,5;1270,6;2060,7;2064,7;2329,5;1494,8;2528,3;527,8;0,0;382,7;304,8;481,9;918,2;440,4;679,5;730,2;1090,6;1379,3;
0210000;"Powiat lubański";6743,7;6893,9;6703,0;6791,1;9163,2;8081,2;9311,8;14770,5;13043,5;15686,2;12226,4;944,4;1150,7;1080,0;906,9;1824,4;1817,4;1929,4;2338,4;2134,3;2356,9;2345,2;2516,4;2922,0;2411,8;2647,8;3552,1;3491,0;3959,8;6557,2;5140,0;6225,5;4552,9;1899,8;2277,1;2282,2;2126,2;2692,8;1873,2;2421,4;3665,3;4534,4;4413,1;3750,3;1383,1;544,1;929,0;1110,2;1093,9;899,6;1001,2;2209,6;1234,8;2690,7;1578,0;0,0;994,5;318,3;594,0;2244,5;180,5;271,2;2048,2;713,5;717,5;0,0;0,0;103,5;0,0;0,0;301,4;94,0;0,0;334,7;260,0;107,1;0,0;0,0;402,9;132,2;158,0;1352,5;0,0;203,3;1364,4;315,5;422,3;0,0;0,0;403,0;0,0;352,7;487,7;0,0;0,0;349,1;0,0;188,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6645,4;5899,4;6384,7;6197,1;6918,7;7900,7;9040,6;12722,3;12330,0;14968,7;12202,9;904,8;1047,2;1044,7;906,9;1523,0;1723,4;1929,4;2003,7;1874,3;2249,8;2321,7;2457,7;2519,1;2279,6;2489,8;2199,6;3404,5;3756,5;5192,8;4824,5;5803,2;4552,9;1899,8;1874,1;2131,4;1773,5;2205,1;1873,2;2353,5;3316,2;4396,4;4225,0;3750,3;1383,1;459,0;929,0;1026,9;991,0;899,6;1001,2;2209,6;1234,8;2690,7;1578,0;
